               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.017837,            0.014063,          0.00083223,             0.92458,             0.88244,             0.92065,             0.67663,            0.022984,            0.020573,           0.0017278,            0.005248,            0.005248,            0.005248
                 146,            0.017591,             0.01361,           0.0008533,              0.9288,              0.8821,             0.92395,             0.67832,            0.022921,            0.020567,           0.0017215,            0.005215,            0.005215,            0.005215
                 147,            0.017746,            0.013779,          0.00089831,              0.9263,             0.88557,             0.92491,             0.67938,            0.022882,            0.020545,           0.0017202,            0.005182,            0.005182,            0.005182
                 148,            0.017848,            0.013691,           0.0008742,             0.93078,             0.88565,             0.92616,             0.67991,            0.022884,             0.02058,           0.0017153,            0.005149,            0.005149,            0.005149
                 149,            0.017455,            0.013774,          0.00084725,             0.92933,             0.89071,             0.92687,             0.67889,            0.022882,            0.020596,           0.0017463,            0.005116,            0.005116,            0.005116
                 150,            0.017523,            0.013541,           0.0008494,             0.92802,             0.89573,             0.92696,             0.68087,            0.022909,            0.020626,           0.0017542,            0.005083,            0.005083,            0.005083
                 151,            0.017387,            0.013616,          0.00082684,             0.92742,             0.89754,             0.92619,             0.67926,            0.022952,            0.020698,           0.0017569,             0.00505,             0.00505,             0.00505
                 152,            0.017412,            0.013572,          0.00084007,             0.92747,             0.89954,             0.92723,             0.67928,             0.02301,            0.020733,           0.0017319,            0.005017,            0.005017,            0.005017
                 153,            0.017487,            0.013636,          0.00092016,             0.92867,             0.89358,             0.92493,             0.67889,            0.022995,            0.020703,           0.0017075,            0.004984,            0.004984,            0.004984
                 154,            0.017258,            0.013776,          0.00080073,             0.92686,             0.89431,             0.92417,                0.68,            0.022975,            0.020695,           0.0016987,            0.004951,            0.004951,            0.004951
                 155,            0.017107,            0.013397,          0.00085701,              0.9313,             0.89022,             0.92445,             0.68029,            0.022953,            0.020689,           0.0017042,            0.004918,            0.004918,            0.004918
                 156,            0.017109,            0.013416,          0.00081856,             0.93344,               0.885,             0.92535,             0.68078,             0.02297,            0.020682,           0.0017169,            0.004885,            0.004885,            0.004885
                 157,            0.017294,            0.013413,          0.00085674,             0.92931,             0.88904,             0.92414,             0.67881,            0.022958,            0.020691,           0.0017269,            0.004852,            0.004852,            0.004852
                 158,            0.017256,             0.01339,          0.00084992,             0.92625,              0.8929,             0.92479,             0.67833,            0.022919,            0.020667,           0.0017275,            0.004819,            0.004819,            0.004819
